,id,winner,state-1,state-2,state-3,state-4,state-5,state-6,state-7,state-8,state-9
0,1,2,200/000/000,200/010/000,220/010/000,220/011/000,222/011/000,0,0,0,0
1,1,1,200/000/000,200/010/000,220/010/000,221/010/000,221/210/000,221/210/100,0,0,0
